last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,wind_direction,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,country,location_name,region,latitude,longitude,timezone,last_updated
1693000001,27.5,81.5,12.8,20.5,281,WNW,1008,29.77,0,0,67,26,29.7,85.5,10,6,7,14.8,23.8,243.7,45.8,1.7,3.1,12.6,18.5,1,2,India,Ashoknagar,Madhya Pradesh,24.57,77.72,Asia/Kolkata,8/29/23 10:45
1693000002,27.5,81.5,9.6,15.5,287,WNW,1008,29.78,0,0,70,19,30,86,10,6,7,11.2,18,240.3,38.3,2.1,2.6,10.7,14.2,1,1,India,Raisen,Madhya Pradesh,23.33,77.8,Asia/Kolkata,8/29/23 10:45
1693000003,26.3,79.3,11.4,18.4,317,NW,1009,29.78,0,0,70,51,28.2,82.8,10,6,7,13.2,21.2,220.3,57.2,0.6,1.7,16.8,20.7,2,2,India,Chhindwara,Madhya Pradesh,22.07,78.93,Asia/Kolkata,8/29/23 10:45
1693000004,25.6,78.1,10.5,16.9,297,WNW,1009,29.8,0,0,76,65,27.6,81.7,10,6,6,13,20.9,200.3,25,1.2,1.1,4.9,6.6,1,1,India,Betul,Madhya Pradesh,21.86,77.93,Asia/Kolkata,8/29/23 10:45
1693000005,27.2,81,10.1,16.2,274,W,1009,29.79,0,0,74,82,29.9,85.8,10,6,6,11.6,18.7,257,30.8,2.2,1.8,11.4,14.8,1,1,India,Hoshangabad,Madhya Pradesh,22.75,77.72,Asia/Kolkata,8/29/23 10:45
1693000006,25.9,78.6,9.8,15.8,287,WNW,1009,29.79,0,0,77,68,28.1,82.6,10,6,6,11.4,18.4,223.6,26.1,3.1,3.3,7.9,10.5,1,1,India,Sehore,Madhya Pradesh,23.2,77.08,Asia/Kolkata,8/29/23 10:45
1693000007,28,82.4,9.4,15.1,280,W,1010,29.83,0.1,0,70,50,31,87.9,5,3,6,13.9,22.3,263.7,56.5,1.2,1.8,17.1,23.1,2,2,India,Jabalpur,Madhya Pradesh,23.17,79.95,Asia/Kolkata,8/29/23 10:45
1693000008,27.7,81.9,11,17.6,277,W,1008,29.77,0,0,71,21,30.5,86.9,10,6,7,12.5,20.2,260.4,52.9,1.2,1.8,17.3,23.7,2,2,India,Narsimhapur,Madhya Pradesh,22.95,79.2,Asia/Kolkata,8/29/23 10:45
1693000009,30,86,11.6,18.7,288,WNW,1007,29.72,0,0,60,22,33.1,91.6,10,6,8,13.4,21.6,243.7,79.4,1.1,5.4,27.4,35.5,2,3,India,Panna,Madhya Pradesh,24.72,80.2,Asia/Kolkata,8/29/23 10:45
1693000010,26,78.8,11.9,19.1,300,WNW,1012,29.88,0,0,74,50,27.8,82.1,5,3,6,14.1,22.7,210.3,32.2,1.7,1.7,5.7,7.6,1,1,India,Ujjain,Madhya Pradesh,23.18,75.77,Asia/Kolkata,8/29/23 10:45
